,codigo_pais,pais,codigo_CCAA,CCAA,codigo_provincia,provincia
0,724,ESPAA,PV,COMUNIDAD AUTONOMA DEL PAIS VASCO,1,Araba/lava
1,724,ESPAA,CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,2,Albacete
2,724,ESPAA,CV,COMUNIDAD VALENCIANA,3,Alacant/Alicante
3,724,ESPAA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,4,Almeria
4,724,ESPAA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,5,Aliva
5,724,ESPAA,EX,COMUNIDAD AUTONOMA DE EXTREMADURA,6,Badajoz
6,724,ESPAA,IB,COMUNIDAD AUTONOMA DE ILLES BALEARS,7,Illes Balears
7,724,ESPAA,CT,COMUNIDAD AUTONOMA DE CATALUA,8,Barcelona
8,724,ESPAA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,9,Burgos
9,724,ESPAA,EX,COMUNIDAD AUTONOMA DE EXTREMADURA,10,Caceres
10,724,ESPAA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,11,Cadiz
11,724,ESPAA,CV,COMUNIDAD VALENCIANA,12,Castellon/Castello
12,724,ESPAA,CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,13,Ciudad Real
13,724,ESPAA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,14,Crdoba
14,724,ESPAA,GA,COMUNIDAD AUTONOMA DE GALICIA,15,A Corua
15,724,ESPAA,CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,16,Cuenca
16,724,ESPAA,CT,COMUNIDAD AUTONOMA DE CATALUA,17,Girona
17,724,ESPAA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,18,Granada
18,724,ESPAA,CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,19,Guadalajara
19,724,ESPAA,PV,COMUNIDAD AUTONOMA DEL PAIS VASCO,20,Gipuzcua
20,724,ESPAA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,21,Huelva
21,724,ESPAA,AR,COMUNIDAD AUTONOMA DE ARAGON,22,Huesca
22,724,ESPAA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,23,Jaen
23,724,ESPAA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,24,Len
24,724,ESPAA,CT,COMUNIDAD AUTONOMA DE CATALUA,25,Lleida
25,724,ESPAA,LR,COMUNIDAD AUTONOMA DE LA RIOJA,26,La Rioja
26,724,ESPAA,GA,COMUNIDAD AUTONOMA DE GALICIA,27,Lugo
27,724,ESPAA,MD,COMUNIDAD DE MADRID,28,Madrid
28,724,ESPAA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,29,Malaga
29,724,ESPAA,MU,REGION DE MURCIA,30,Murcia
30,724,ESPAA,nan,COMUNIDAD FORAL DE NAVARRA,31,Navarra
31,724,ESPAA,GA,COMUNIDAD AUTONOMA DE GALICIA,32,Ourense
32,724,ESPAA,AS,PRINCIPADO DE ASTURIAS,33,Asturias
33,724,ESPAA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,34,Palencia
34,724,ESPAA,IC,COMUNIDAD AUTONOMA DE CANARIAS,35,Las Palmas
35,724,ESPAA,GA,COMUNIDAD AUTONOMA DE GALICIA,36,Pontevedra
36,724,ESPAA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,37,Salamanca
37,724,ESPAA,IC,COMUNIDAD AUTONOMA DE CANARIAS,38,Santa Cruz de Tenerife
38,724,ESPAA,CN,COMUNIDAD AUTONOMA DE CANTABRIA,39,Cantabria
39,724,ESPAA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,40,Segovia
40,724,ESPAA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,41,Sevilla
41,724,ESPAA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,42,Soria
42,724,ESPAA,CT,COMUNIDAD AUTONOMA DE CATALUA,43,Tarragona
43,724,ESPAA,AR,COMUNIDAD AUTONOMA DE ARAGON,44,Teruel
44,724,ESPAA,CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,45,Toledo
45,724,ESPAA,CV,COMUNIDAD VALENCIANA,46,Valncia/Valencia
46,724,ESPAA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,47,Valladolid
47,724,ESPAA,PV,COMUNIDAD AUTONOMA DEL PAIS VASCO,48,Bizkaia
48,724,ESPAA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,49,Zamora
49,724,ESPAA,AR,COMUNIDAD AUTONOMA DE ARAGON,50,Zaragoza
50,724,ESPAA,CE,CIUDAD DE CEUTA,51,Melilla
51,724,ESPAA,ME,CIUDAD DE MELILLA,52,
